recipe_urls,recipe_name,ingredients,cuisine
https://www.jamieoliver.com/recipes/chicken-recipes/good-old-chicken-tikka-masala/,Good old chicken tikka masala,"['6 cloves of garlic', '7.5 cm fresh ginger', '2-3 fresh red chillies', '2 medium onions', 'olive oil', '1 tablespoon mustard seeds', '1 tablespoon paprika', '2 teaspoons ground cumin', '2 teaspoons ground coriander', '3 tablespoons garam masala', '200 ml natural yoghurt', '4 x 120 g free-range chicken breasts , skin off', '1 tablespoon unsalted butter', '2 tablespoons tomato purée', '1 small handful of ground cashew nuts or almonds', '50 ml single cream', '1 bunch of fresh coriander', '1-2 limes']",Indian
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-in-milk/,Chicken in milk,"['1 x 1.5 kg free-range whole chicken', '100 g unsalted butter', 'olive oil', '½ a cinnamon stick', '1 bunch of fresh sage , leaves picked', '2 lemons', '10 cloves of garlic', '550 ml milk']",Italian
https://www.jamieoliver.com/recipes/pasta-recipes/chicken-and-mushroom-pasta-bake-spaghetti-tetrazzini/,Chicken and mushroom pasta bake (Spaghetti tetrazzini),"['20 g dried porcini mushrooms', 'olive oil', '4 higher-welfare chicken thighs , boned, skinned and cut into bite-sized pieces', 'sea salt', 'freshly ground black pepper', '2 cloves of garlic , peeled and finely sliced', '350 g mixed fresh mushrooms , cleaned and torn', '200 ml white wine', '320 g dried spaghetti', '300 ml single cream', '150 g Parmesan cheese , grated', '1 sprig of fresh basil , leaves picked']",Italian
https://www.jamieoliver.com/recipes/pasta-recipes/cheat-s-homemade-pappardelle-with-quick-tomato-sauce/,Cheat’s homemade pappardelle with quick tomato sauce,"['extra virgin olive oil', '2 cloves garlic , peeled and finely sliced', '½-1 fresh red chilli , halved, deseeded and finely sliced', '1 small bunch of fresh basil , leaves picked', '400 g good-quality tinned chopped tomatoes', 'sea salt', 'freshly ground black pepper', '250 g fresh lasagne sheets', 'Parmesan cheese , freshly grated, to serve']",Italian
https://www.jamieoliver.com/recipes/seafood-recipes/chargrilled-whole-squid-with-chilli-and-mint/,Chargrilled whole squid with chilli and mint,"['4 medium-sized whole squid , from sustainable sources, ask your fishmonger, cleaned and prepared, wings left on', '1 tablespoon fennel seeds', 'sea salt', 'freshly ground black pepper', '2 lemons , zest and juice of', 'extra virgin olive oil', '2-3 red chillies , deseeded and sliced', '1 handful of fresh mint , finely chopped', '1 lemon , cut into wedges, to serve']",Thai
https://www.jamieoliver.com/recipes/fish-recipes/chargrilled-tuna-with-oregano-oil-and-beautifully-dressed-peas-and-broad-beans/,Chargrilled tuna with oregano oil and beautifully dressed peas and broad beans,"['For the oregano oil', '1 small bunch of fresh oregano or marjoram , leaves picked', 'sea salt', '1 lemon , juice of', 'best-quality extra virgin olive oil', 'For the tuna, beans and peas', '4 handfuls of podded peas', '2 handfuls of podded broad beans', '80 ml best-quality extra virgin olive oil', 'sea salt', 'freshly ground back pepper', '1 small bunch of fresh mint , leaves picked', '1 lemon , juice of', '4 x 200 g tuna steaks , from sustainable sources, ask your fishmonger, cut 1cm thick']",French
https://www.jamieoliver.com/recipes/fish-recipes/chargrilled-tuna-with-dressed-beans-and-loadsa-herbs/,Chargrilled tuna with dressed beans and loadsa herbs,"['100 g cannellini beans', '100 g borlotti beans', '1 tomato , optional', '1 potato , optional', 'extra virgin olive oil', '1 red onion , peeled and finely sliced', '4 anchovy fillets , finely chopped', '1-2 fresh red chillies , deseeded and finely sliced', 'sea salt', 'freshly ground black pepper', '4 x 225 g tuna steaks , from sustainable sources, ask your fishmonger, about 1cm thick', '2 lemons , zest and juice of', '3 handfuls mixed fresh herbs (chives, chervil, basil, parsley, mint) , roughly chopped']",French
https://www.jamieoliver.com/recipes/pork-recipes/chargrilled-pork-leg-with-asparagus/,Chargrilled pork leg with asparagus,"[""100 g goat's cheese"", '8 tablespoons extra virgin olive oil , plus a little extra', '1 clove garlic', '1 small bunch fresh lemon thyme , leaves picked', '4 x 175 g higher-welfare pork escalopes , about 1cm thick', 'sea salt', 'freshly ground black pepper', '500 g asparagus , finely sliced lengthways', '250 g green and yellow courgettes , finely sliced lengthways', '4 tablespoons cider vinegar or white wine vinegar', '1 bunch of fresh mint , leaves picked']",American
https://www.jamieoliver.com/recipes/pork-recipes/caesar-salad-bites/,Caesar salad bites,"['8 thin slices higher-welfare pork belly', '2 handfuls stale bread , sugar-lump sized pieces, crusts removed', '3 fresh anchovies', '2 lemons , juice and zest of', 'extra virgin olive oil', '1 sprig fresh flat-leaf parsley , chopped', '2 cos lettuces', 'a few cherry tomatoes , washed', 'Parmesan , shavings', 'sea salt', 'freshly ground black pepper']",American
https://www.jamieoliver.com/recipes/pork-recipes/boxing-day-bubble-and-squeak/,Boxing Day bubble & squeak,"['olive oil', '800 g leftover veg , about half potatoes, then brussels sprouts, carrots, turnip', '4 ripe tomatoes', '4 large field mushrooms', '8 rashers of higher-welfare smoked streaky bacon', '4 higher-welfare chipolatas', '4 large free-range eggs']",Unknown
https://www.jamieoliver.com/recipes/pork-recipes/blackened-barbecued-pork-fillets/,Blackened barbecued pork fillets,"['For the marinade', '½ teaspoon cumin seeds', '1 teaspoon fennel seeds', '2 cloves', '1 heaped tablespoon sweet smoked paprika', '1 orange , zest and juice of', '1 small bunch of fresh thyme , leaves picked and very finely chopped', '4 cloves of garlic , peeled and very finely chopped', '150 ml Heinz organic tomato ketchup', '6 tablespoons balsamic vinegar', 'For the pork', '4 x 400 g higher-welfare pork fillets', 'sea salt', 'freshly ground black pepper', '1 handful of fresh coriander , leaves picked and chopped, optional', '1 lemon , juice of, optional']",American
https://www.jamieoliver.com/recipes/lamb-recipes/best-roast-leg-of-lamb/,Best roast leg of lamb,"['2 kg leg of lamb or hogget', '1 bulb of garlic', '½ a bunch of fresh rosemary', '1.5 kg potatoes', '1 lemon', 'olive oil', 'MINT SAUCE', '1 bunch of fresh mint', '1 teaspoon sugar', '3 tablespoons wine vinegar']",French
https://www.jamieoliver.com/recipes/lamb-recipes/best-lamb-cutlets-with-special-basil-sauce/,Best lamb cutlets with special basil sauce,"['12 quality lamb cutlets', '1 small handful of fresh thyme , leaves picked', 'extra virgin olive oil', 'sea salt', 'freshly ground black pepper', '400 g mushrooms , brushed clean and torn', '1 small handful of fresh flat-leaf parsley', '1 lemon', '2 handfuls of pine nuts', '2 large handfuls of fresh basil', '3-5 tablespoons balsamic vinegar']",French
https://www.jamieoliver.com/recipes/beef-recipes/best-chargrilled-steak/,Best chargrilled steak,"['For the salsa verde', '1½-2 cloves of garlic , peeled', '1 small handful of capers', '1 small handful of gherkins pickled in sweet vinegar', '6 anchovy fillets', '2 large handfuls of flat-leaf parsley , leaves picked', '1 bunch of fresh basil , leaves picked', '1 handful of fresh mint , leaves picked', '1 tablespoon Dijon mustard', '3 tablespoons red wine vinegar', '8 tablespoons really good extra virgin olive oil', 'sea salt', 'freshly ground black pepper', 'For the steak', '1 large bunch of fresh lemon thyme or thyme', '1 clove of garlic', '1 anchovy fillet', '1 lemon , zest of', '10 tablespoons extra virgin olive oil', '4 x 175 g quality fillet or sirloin steaks', '4 rashers higher-welfare smoked streaky bacon', '8 medium large Portobello or other flat mushroom', 'sea salt', 'freshly ground black pepper']",American
https://www.jamieoliver.com/recipes/beef-recipes/beef-with-pak-choi-mushrooms-and-noodles/,"Beef with pak choi, mushrooms and noodles","['75 g thin rice noodles', '115 g quality beef sirloin', 'olive oil', '1 teaspoon ground cumin', 'sea salt', '½ red onion , finely sliced', '1 thumb-sized piece fresh ginger , peeled and finely sliced', '1 fresh red chilli , deseeded and finely sliced', '1 small handful shiitake and oyster mushrooms , brushed clean and torn up', '200 ml organic chicken stock', '1 pak choi , quartered']",Chinese
https://www.jamieoliver.com/recipes/beef-recipes/beef-tagine/,Beef tagine,"['600 g stewing beef', '1 onion', '½ a bunch of fresh coriander', 'olive oil', '1 x 400 g tin of chickpeas', '1 x 400 g tin of plum tomatoes', '800 ml organic vegetable stock', '800 g butternut squash', '100 g prunes', '2 tablespoons flaked almonds', 'SPICE RUB', '1 level tablespoon ras el hanout spice mix', '1 level tablespoon ground cumin', '1 level tablespoon ground cinnamon', '1 level tablespoon ground ginger', '1 level tablespoon sweet paprika']",Unknown
https://www.jamieoliver.com/recipes/beef-recipes/beef-carpaccio-with-marinated-bean-salad/,Beef carpaccio with marinated bean salad,"['250 g green or mixed beans , topped but not tailed', '1 x 500 g quality beef fillet', 'a few sprigs of fresh thyme', 'olive oil', 'MARINADE', '2 small shallots , or ½ a small red onion, peeled and very finely chopped', '1 handful of fresh soft herbs (chervil, parsley, yellow inner celery, tarragon) , leaves picked and chopped', '1 teaspoon Dijon mustard', '1½ tablespoons white wine vinegar', 'extra virgin olive oil']",Italian
https://www.jamieoliver.com/recipes/beef-recipes/beef-and-vegetable-stir-fry/,Beef & vegetable stir-fry,"['2 cloves of garlic', '5 cm piece of ginger', '1-2 fresh red chillies', '6 spring onions', '1 large red pepper', '1 handful of mangetout', '1 handful of baby corn', '1 bunch of fresh coriander', '350 g quality steak', '250 g dried medium free-range egg noodles', 'vegetable oil', '200 g peanut shoots or beansprouts', 'soy sauce', 'sesame oil', '½ a lime', '4 cos lettuce leaves']",Chinese
https://www.jamieoliver.com/recipes/beef-recipes/beef-and-broccoli-stir-fry/,Beef and broccoli stir-fry,"['200 g purple sprouting broccoli', 'sea salt', 'freshly ground black pepper', '2 x 300 g quality sirloin steaks', '2 teaspoons coriander seeds', 'olive oil', '1 red onion , peeled and finely sliced', '2 cloves garlic peeled and finely sliced', '1 thumb-sized piece fresh ginger , peeled and finely chopped', '3 tablespoons soy sauce', '1 teaspoon sesame oil', 'egg noodles , to serve', 'red chilli , finely sliced, to serve', '1 wedge of lime , to serve']",Chinese
https://www.jamieoliver.com/recipes/seafood-recipes/beautiful-smoky-barbecued-shellfish/,Beautiful smoky barbecued shellfish,"['1 clove of garlic , peeled and finely grated', '3 lemons , zest and juice of', 'extra virgin olive oil', '2 handfuls of fresh flat-leaf parsley , leaves picked and chopped, stalks finely chopped', 'herb branches, such as bay, rosemary or myrtle branches , optional', '2 kg shellfish , from sustainable sources, ask your fishmonger', '2-4 fresh red chillies , deseeded and sliced']",American
https://www.jamieoliver.com/recipes/seafood-recipes/beautiful-homemade-crab-cakes-with-a-hot-blackened-salsa/,Beautiful homemade crab cakes with a hot blackened salsa,"['500 g potatoes , peeled and larger ones halved', 'sea salt', 'freshly ground black pepper', 'olive oil', '500 g mixed white and brown crabmeat , 2:1 brown to white, from sustainable sources, ask your fishmonger', '2 lemons', 'a few sprigs of fresh flat-leaf parsley', '½ fresh red chilli', '3 spring onions , trimmed', 'For the salsa', '1 red pepper , quartered and deseeded', '10 cherry tomatoes , on the vine', '1 fresh red chilli , halved lengthways and deseeded', '1 spring onion , trimmed and finely sliced', '3 tablespoons extra virgin olive oil', 'a few sprigs of fresh basil']",American
https://www.jamieoliver.com/recipes/bread-recipes/basic-pizza/,Basic pizza,"['DOUGH (8 PIZZAS)', '800 g strong white bread flour', '200 g fine ground semolina flour or strong white bread flour', '1 level teaspoon fine sea salt', '2 x 7 g sachets of dried yeast', '1 tablespoon golden caster sugar', 'TOMATO SAUCE (4 PIZZAS)', '1 clove of garlic', '1 bunch of fresh basil', 'olive oil', '1 x 400 g tin of quality plum tomatoes', 'TOPPING (4 PIZZAS)', '85 g mozzarella cheese', '']",Italian
https://www.jamieoliver.com/recipes/chicken-recipes/barbecued-thai-chicken-legs/,Barbecued Thai chicken legs,"['4 free-range chicken legs', '1 bunch of fresh coriander', '2 sticks of lemongrass', '3 cloves of garlic', '5 cm piece of ginger', '2 limes', '1 fresh green chilli', 'sunflower oil']",Thai
https://www.jamieoliver.com/recipes/seafood-recipes/barbecued-scallops/,Barbecued scallops,"['200 g brown or green lentils', '1 clove garlic', '1 sprig fresh sage', 'sea salt', 'freshly ground black pepper', 'extra virgin olive oil', '16 small fresh scallops , from sustainable sources, ask your fishmonger', '12 slices higher-welfare pancetta or thinly sliced streaky bacon', 'olive oil', '1 small bunch watercress , washed and drained', '1 lemon , juice of']",American
https://www.jamieoliver.com/recipes/chicken-recipes/barbecued-chicken/,Barbecued chicken,"['1 orange', '1 dried chilli', '1½ heaped teaspoons smoked paprika', '1½ teaspoons Dijon or English mustard', '3 tablespoons honey', '3 tablespoons ketchup', '1 teaspoon olive oil', '1/16 teaspoon sea salt , to taste', '1/16 teaspoon freshly ground pepper , to taste', '4 x 5 oz boneless skinless higher-welfare chicken breasts']",American
https://www.jamieoliver.com/recipes/pasta-recipes/awesome-spinach-and-ricotta-cannelloni/,Awesome spinach and ricotta cannelloni,"['2 knobs butter', 'olive oil', '2 cloves garlic , peeled and finely sliced', '1 large handful fresh marjoram or oregano , roughly chopped', '¼ nutmeg , grated', '8 large handfuls spinach , thoroughly washed', '1 handful fresh basil , stalks chopped, leaves ripped', '2 x 400 g good-quality tinned plum tomatoes , chopped', 'sea salt', 'freshly ground black pepper', '1 pinch sugar', '400 g crumbly ricotta cheese', '2 handfuls Parmesan cheese , freshly grated', '16 cannelloni tubes', '200 g mozzarella , broken up', 'for the white sauce', '500 ml crème fraîche', '3 anchovies , finely chopped', '2 handfuls Parmesan cheese , freshly grated']",Italian
https://www.jamieoliver.com/recipes/vegetables-recipes/aubergine-parmigiana-melanzane-alla-parmigiana/,Aubergine Parmigiana (Melanzane alla Parmigiana),"['3 large aubergines', 'olive oil', '1 onion , peeled and finely chopped', '½ bulb spring garlic , or 1 clove of regular garlic, peeled and finely sliced', '1 heaped teaspoon dried oregano', '2x400 g good-quality tinned plum tomatoes , or 1kg fresh ripe tomatoes', 'sea salt', 'freshly ground black pepper', 'a little wine vinegar', '1 large handful fresh basil', '3 large handfuls Parmesan cheese , freshly grated', '2 handfuls dried breadcrumbs', 'a little fresh oregano , leaves chopped', '150 g buffalo mozzarella , optional']",Italian
https://www.jamieoliver.com/recipes/rice-recipes/asparagus-mint-and-lemon-risotto/,"Asparagus, mint & lemon risotto","['For the risotto base', '1 litre organic vegetable or chicken stock', '2 tablespoons olive oil', '1 large onion , peeled and finely chopped', '4-5 sticks celery , trimmed and finely chopped', '600 g risotto rice', '250 ml vermouth or dry white wine', 'For the risotto', '2 bunches asparagus , woody ends removed and discarded', '700 ml organic vegetable or chicken stock', '50 g butter', '1 small handful Parmesan cheese , freshly grated, plus a block for grating', '1 bunch fresh mint , leaves picked and finely chopped', '2 lemons , zest and juice of', 'sea salt', 'freshly ground black pepper', 'extra virgin olive oil']",Italian
https://www.jamieoliver.com/recipes/turkey-recipes/asian-inspired-turkey-salad/,Asian-inspired turkey salad,"['2 large handfuls of brown turkey meat', '1 large handful of cashew nuts', '1 handful of dried cranberries', '2 teaspoons Chinese five-spice powder', '1 bunch of fresh mint', '1 bunch of fresh coriander', '4 large handfuls of mixed salad leaves , such as chicory, rocket, spinach, watercress', '1 fresh red chilli', '1 tablespoon runny honey', 'DRESSING', '1 clementine', '½ a red onion', '1 lime', '1 pomegranate', 'extra virgin olive oil', '1 tablespoon soy sauce', '1 teaspoon sesame oil', '5 cm piece of ginger']",Thai
https://www.jamieoliver.com/recipes/rice-recipes/artichoke-risotto-risotto-ai-carciofi/,Artichoke risotto (Risotto ai carciofi),"['6 small violet artichokes', '1 lemon', '1 x risotto bianco', '½ a bunch of fresh mint , (15g)', 'extra virgin olive oil', 'Parmesan cheese , for grating']",Italian
https://www.jamieoliver.com/recipes/rice-recipes/apple-and-walnut-risotto-with-gorgonzola/,Apple and walnut risotto with gorgonzola,"['1 basic risotto recipe', '700 ml organic vegetable or chicken stock , hot', '50 g butter', '1 small handful Parmesan cheese , freshly grated, plus a block for grating', '175 g gorgonzola cheese , diced', ""75 g soft goat's cheese , crumbled"", '2 crunchy eating apples , cored, halved, and finely chopped, tossed in lemon juice', '1 small bunch fresh marjoram , leaves picked and chopped', 'sea salt', 'freshly ground black pepper', '1 handful walnuts', 'extra virgin olive oil']",Italian
https://www.jamieoliver.com/recipes/lamb-recipes/andy-the-gasman-s-stew/,Andy the gasman's stew,"['olive oil', '700 g potatoes , peeled and cut into 2.5cm dice', '2 red onions , peeled and roughly chopped', '2 carrots , peeled and roughly chopped', '2 sticks celery , trimmed and roughly chopped', '2 sprigs fresh rosemary , leaves picked', '1 level teaspoon ground cumin', '1 heaped tablespoon smoked paprika', '1 orange , zest and juice of', '800 g stewing steak, quality lamb or higher-welfare pork , cubed', '410 g good-quality tinned cooked chickpeas , drained', '2x400 g good-quality tinned plum tomatoes , chopped', 'sea salt', 'freshly ground black pepper', '1 tub fresh live yoghurt , to serve', '1 handful fresh coriander , leaves picked, to serve']",Unknown
https://www.jamieoliver.com/recipes/fish-recipes/aegean-kakavia-beautiful-fish-stew/,Aegean kakavia (Beautiful fish stew),"['olive oil', '2 onions , peeled and roughly chopped', '4 sticks celery , trimmed and roughly chopped', '5 cloves garlic , peeled and roughly chopped', '3 beef tomatoes , roughly chopped', '500 g potatoes , peeled and cut into 3-4cm chunks', '3 bay leaves', '1 litre organic vegetable stock', '700 g fresh fish fillets , from sustainable sources, ask your fishmonger, scaled and pin-boned', '1 lemon , juice of', '½ a bunch fresh flat-leaf parsley , (15g) roughly chopped', '½ a bunch fresh dill , (15g) roughly chopped', 'Greek extra virgin olive oil', '1 loaf rustic bread , to serve']",Greek
https://www.jamieoliver.com/recipes/pasta-recipes/a-killer-mac-n-cheese/,A killer mac 'n' cheese,"['10 cloves of garlic', '45 g butter', '3 heaped tablespoons plain flour', '6 bay leaves', '1 litre semi-skimmed milk', '600 g dried macaroni', '8 tomatoes', '150 g Cheddar cheese', '100 g Parmesan cheese', 'a few sprigs of fresh thyme', 'OPTIONAL', '2 splashes of Worcestershire sauce', 'OPTIONAL', '1 whole nutmeg , for grating', '3 big handfuls of fresh breadcrumbs', 'olive oil']",American
https://www.jamieoliver.com/recipes/beef-recipes/a-cracking-burger/,A cracking burger,"[""12 Jacob's cream crackers"", '8 sprigs of fresh flat-leaf parsley', '500 g quality minced beef', '2 heaped tablespoons Dijon mustard , optional', '1 large free-range egg', 'olive oil', '1 cos or round lettuce', '3 ripe tomatoes', '1 red onion', '3-4 gherkins', '6 slices of Cheddar cheese , optional', '6 quality burger buns']",American
https://www.jamieoliver.com/recipes/rice-recipes/a-basic-risotto-recipe/,A basic risotto recipe,"['1.1 litres organic stock , such as chicken, fish, vegetable', '1 large onion', '2 cloves of garlic', '½ a head of celery', '90 g Parmesan cheese', '2 tablespoons olive oil', 'unsalted butter', '400 g risotto rice', '2 wine glasses of dry white vermouth (dry Martini or Noilly Prat) or dry white wine']",Italian
https://www.jamieoliver.com/recipes/pasta-recipes/a-basic-recipe-for-fresh-egg-pasta/,A basic recipe for fresh egg pasta,"['6 large free-range eggs', ""600 g Tipo '00' flour""]",Italian
https://www.jamieoliver.com/recipes/game-recipes/12-hour-rabbit-bolognese/,12-hour rabbit bolognese,"['2 leeks', '2 carrots', '2 sticks of celery', '2 red onions', '3 rashers of higher-welfare smoked streaky bacon', 'olive oil', '2 fresh bay leaves', '2 sprigs of fresh rosemary', '1 whole rabbit , skinned, including offal', '1 bulb of garlic', '20 g dried porcini', '2 x 400 g tins of quality plum tomatoes', '500 ml light smooth beer/ale', '2 tablespoons tomato purée', '1 whole nutmeg , for grating', '½ a lemon', 'a few sprigs of fresh thyme', 'OPTIONAL SERVING METHOD (FOR 6)', '450 g dried pasta', 'Parmesan or Cheddar cheese', 'extra virgin olive oil', 'a few sprigs of fresh thyme']",Italian
https://www.jamieoliver.com/recipes/beef-recipes/1-steak-2-sauces/,1 steak 2 sauces,"['STEAK', '4 x 200 g quality sirloin or rib-eye steaks , ideally 2.5cm thick', 'olive oil', '1 sprig of fresh rosemary', '1 clove garlic', 'PEANUT SAUCE', '100 g shelled roasted monkey nuts (skins removed)', '50 g sesame seeds', '3 cloves of garlic', '1 teaspoon dried oregano', '1 teaspoon cumin seeds', 'a few sprigs of fresh thyme', '1 dried smoked chipotle chilli', 'extra virgin olive oil', '1 swig of rum', '1 lime', '1-2 fresh green chillies', 'MEXICAN SALSA VERDE', '1 bunch of fresh coriander , (30g)', '1 bunch of fresh mint , (30g)', '1 clove of garlic', '1-2 fresh red or green chillies', '4 spring onions', '2 ripe tomatoes', '1-2 limes']",American
https://www.jamieoliver.com/recipes/fish-recipes/moqueca-baiana/,Moqueca baiana,"['1 kg monkfish or cod fillets , deboned and portioned', '1/2 lemon , juice of', '1/2 onion , sliced', '1 1/2 tomatoes , sliced', '1/2 green pepper , sliced', '1/2 yellow pepper , sliced', '1/2 red pepper , sliced', 'olive oil', '1/2 bunch of coriander , chopped, plus extra to serve', '160 ml coconut cream', '1 tbsp paprika', '500 g cooked rice , to serve']",Brazilian
